# epoch	train_loss	test_loss	train_acc	test_acc	test_f1
81	0.503697	0.578049	79.526180	80.051843	0.701788
82	0.493166	0.589832	79.111357	79.435484	0.689201
83	0.491834	0.558537	79.314159	79.959677	0.698489
84	0.485308	0.577033	78.825590	80.590438	0.706539
85	0.492271	0.632971	78.890118	80.054724	0.702002
86	0.497291	0.600577	78.779499	80.233295	0.710524
87	0.493186	0.612269	79.535398	79.873272	0.702972
88	0.489994	0.554302	79.811947	80.766129	0.713870
89	0.490351	0.577015	79.544617	80.855415	0.717288
90	0.493835	0.575858	79.304941	79.870392	0.705093
91	0.491929	0.624272	79.341814	80.316820	0.710801
92	0.499109	0.582782	79.415560	80.769009	0.719090
93	0.503964	0.614716	79.175885	80.679724	0.713777
94	0.507511	0.580557	78.475295	79.876152	0.704693
95	0.490761	0.602309	79.175885	80.682604	0.717643
96	0.501624	0.571304	78.309366	81.123272	0.722339
97	0.498672	0.552458	79.415560	81.215438	0.724877
98	0.499574	0.546861	78.936209	79.959677	0.699271
99	0.498096	0.567653	79.046829	81.310484	0.728749
100	0.506955	0.588277	78.207965	81.307604	0.724191
